gene_name	gene_claim_name	entrez_id	interaction_claim_source	interaction_types	drug_claim_name	drug_claim_primary_name	drug_name	drug_chembl_id	PMIDs
PIK3CA	PIK3CA	5290	NCI		UROKINASE-TYPE PLASMINOGEN ACTIVATOR	UROKINASE-TYPE PLASMINOGEN ACTIVATOR			11865026
ITGA2B	GP2B	3674	ChemblInteractions	inhibitor	CHEMBL1174	EPTIFIBATIDE	EPTIFIBATIDE	CHEMBL1174	
PIK3R1	PIK3R1	5295	MyCancerGenome	inhibitor	GDC-0980	GDC-0980	APITOLISIB	CHEMBL1922094	
GRIN2C	458	2905	GuideToPharmacologyInteractions	antagonist	4243	LY233053	CHEMBL173031	CHEMBL173031	
HTR2B	7	3357	GuideToPharmacologyInteractions	antagonist	57	XANOMELINE	XANOMELINE	CHEMBL21536	
ERBB4	HER4	2066	ChemblInteractions	inhibitor	CHEMBL3545396	BMS-690514	BMS-690514	CHEMBL3545396	
PDGFRB	P09619	5159	TdgClinicalTrial		SORAFENIB	SORAFENIB	SORAFENIB	CHEMBL1336	
SMAD3	SMAD3	4088	NCI		HALOFUGINONE	HALOFUGINONE	HALOFUGINONE	CHEMBL1197091	11874485
MET	C-MET	4233	TALC	inhibitor	AMG 208	AMG 208	AMG-208	CHEMBL496102	
PIK3CA	2153	5290	GuideToPharmacologyInteractions	inhibitor	8827	COMPOUND 11J [PMID: 23021994]			
HTR2C	TTDS00105	3358	TTD	agonist	DCL001223	PRX00933			
GSTP1	GSTP1	2950	NCI		ALPHA-TOCOPHEROL	ALPHA-TOCOPHEROL	VITAMIN E	CHEMBL47	17029404
GGT1	GGT1	2678	NCI		CARBAMAZEPINE	CARBAMAZEPINE	CARBAMAZEPINE	CHEMBL108	12402220
HDAC1	HDAC1	3065	TALC	inhibitor	PANOBINOSTAT	PANOBINOSTAT	PANOBINOSTAT	CHEMBL483254	
SYK	2230	6850	GuideToPharmacologyInteractions	inhibitor	7889	ENTOSPLETINIB	ENTOSPLETINIB	CHEMBL3265032	
PGR	P06401	5241	TdgClinicalTrial		NORELGESTROMIN	NORELGESTROMIN	NORELGESTROMIN	CHEMBL1200807	
IFNAR1	P17181	3454	TdgClinicalTrial		INTERFERON ALFACON-1	INTERFERON ALFACON-1	INTERFERON ALFACON-1	CHEMBL1201557	
FLT3	CD135	2322	ChemblInteractions	inhibitor	CHEMBL3301622	GILTERITINIB	GILTERITINIB	CHEMBL3301622	
HDAC7	HDAC7A	51564	ChemblInteractions	inhibitor	CHEMBL408513	BELINOSTAT	BELINOSTAT	CHEMBL408513	
IL1R1	IL1R1	3554	NCI		VITAMIN D	VITAMIN D			12193704
NPY2R	TTDC00040	4887	TTD	agonist	DCL000940	PYY3-36	CHEMBL435278	CHEMBL435278	
SLC36A1	1161	206358	GuideToPharmacologyInteractions	inhibitor	4709	INDOLE-3-PROPIONIC ACID	INDOLYLPROPIONIC ACID	CHEMBL207225	
HTR1B	P28222	3351	TEND		ERGOTAMINE	ERGOTAMINE	ERGOTAMINE	CHEMBL442	
RXFP1	351	59350	GuideToPharmacologyInteractions	agonist	1992	RELAXIN	RELAXIN	CHEMBL2107882	
CYP19A1	CYP19A1	1588	NCI		QUERCETIN	QUERCETIN	QUERCETIN	CHEMBL50	10704911
OPRM1	P35372	4988	TEND		ANILERIDINE	ANILERIDINE	ANILERIDINE	CHEMBL1201347	
BRPF3	2731	27154	GuideToPharmacologyInteractions		9523	OF-1			
TRPV2	508	51393	GuideToPharmacologyInteractions	channel blocker	2421	AMILORIDE	AMILORIDE	CHEMBL945	
TOP2A	TOP2A	7153	NCI		ETOPOSIDE	ETOPOSIDE	ETOPOSIDE	CHEMBL44657	8823806,9485461,8870683,9494516,9426516
KRAS	KRAS	3845	CKB		Pembrolizumab	Pembrolizumab	PEMBROLIZUMAB	CHEMBL3137343	28039262
ESR1	P03372	2099	TEND		PROGESTERONE	PROGESTERONE	PROGESTERONE	CHEMBL103	
GABRB2	P47870	2561	TdgClinicalTrial		CLONAZEPAM	CLONAZEPAM	CLONAZEPAM	CHEMBL452	
GSK3B	2030	2932	GuideToPharmacologyInteractions	inhibitor	5976	GSK-3 INHIBITOR XIII	CHEMBL359482	CHEMBL359482	
ATP1A4	ATP1AL2	480	ChemblInteractions	inhibitor	CHEMBL3545057	ACETYLDIGITOXIN	ACETYLDIGITOXIN	CHEMBL3545057	
PDE2A	PDE2A	5138	ChemblInteractions	inhibitor	CHEMBL932	DIPYRIDAMOLE	DIPYRIDAMOLE	CHEMBL932	
TUBB8	TUBB8	347688	ChemblInteractions	inhibitor	CHEMBL1683544	ERIBULIN MESYLATE	ERIBULIN MESYLATE	CHEMBL1683544	
GRPR	39	2925	GuideToPharmacologyInteractions	antagonist	6180	[D-PHE6]BOMBESIN(6-13)METHYL ESTER	CHEMBL45002	CHEMBL45002	
GABRA6	GABRA6	2559	ChemblInteractions	positive allosteric modulator	CHEMBL568	OXAZEPAM	OXAZEPAM	CHEMBL568	
GSTP1	GSTP1	2950	CIViC		FOLFOXPROTOCOL	FOLFOXPROTOCOL			19922504
IL1B	IL1B	3553	NCI		PENTOXIFYLLINE	PENTOXIFYLLINE	PENTOXIFYLLINE	CHEMBL628	8048000
CHRNA7	468	1139	GuideToPharmacologyInteractions	agonist	7371	AQW051	AQW051	CHEMBL3545232	
FLT3	P36888	2322	TdgClinicalTrial		MIDOSTAURIN	MIDOSTAURIN	MIDOSTAURIN	CHEMBL608533	
DRD3	216	1814	GuideToPharmacologyInteractions	antagonist	7227	MESORIDAZINE	MESORIDAZINE	CHEMBL1088	
	1224		GuideToPharmacologyInteractions	inhibitor	4570	RIFAMYCIN SV			
CA9	G250	768	ChemblInteractions		CHEMBL3707280	CG250 111IN	CG250 111IN	CHEMBL3707280	
ABCG2	ABCG2	9429	NCI		PRAVASTATIN	PRAVASTATIN	PRAVASTATIN	CHEMBL1144	17622941
NR3C1	GRL	2908	ChemblInteractions	agonist	CHEMBL1200953	HYDROCORTISONE PROBUTATE	HYDROCORTISONE PROBUTATE	CHEMBL1200953	
COMT	COMT	1312	ChemblInteractions	inhibitor	CHEMBL953	ENTACAPONE	ENTACAPONE	CHEMBL953	
CXCL10	CXCL10	3627	NCI		METHYLPREDNISOLONE	METHYLPREDNISOLONE	METHYLPREDNISOLONE	CHEMBL650	17220550
BIRC5	O15392	332	TdgClinicalTrial		SPC-3042	SPC-3042			
GABRR1	P24046	2569	TdgClinicalTrial		QUAZEPAM	QUAZEPAM	QUAZEPAM	CHEMBL1200472	
ITGB6	P18564	3694	TdgClinicalTrial		GLPG0187	GLPG0187			
NDUFA1	NDUFA1	4694	ChemblInteractions	inhibitor	CHEMBL3545135	NV-128	NV-128	CHEMBL3545135	
DRD2	DRD2	1813	ChemblInteractions	antagonist	CHEMBL728	PROCHLORPERAZINE	PROCHLORPERAZINE	CHEMBL728	
MAP2K2	MEK2	5605	ChemblInteractions	inhibitor	CHEMBL507361	PD-0325901	PD-0325901	CHEMBL507361	
DRD1	214	1812	GuideToPharmacologyInteractions	agonist	935	SKF-38393	SKF-38393	CHEMBL286080	
PIK3R2	PIK3R2	5296	ChemblInteractions	inhibitor	CHEMBL1234354	PF-04691502	PF-04691502	CHEMBL1234354	
CHRNA7	NACHRA7	1139	ChemblInteractions	positive allosteric modulator	CHEMBL429317	AVL-3288	AVL-3288	CHEMBL429317	
PIK3CB	PIK3C1	5291	ChemblInteractions	inhibitor	CHEMBL2017974	BUPARLISIB	BUPARLISIB	CHEMBL2017974	
SCN8A	MED	6334	ChemblInteractions	blocker	CHEMBL1201754	RUFINAMIDE	RUFINAMIDE	CHEMBL1201754	
TYMP	TYMP	1890	NCI		SULFASALAZINE	SULFASALAZINE	SULFASALAZINE	CHEMBL421	15269287
MAPK14	CSBP	1432	ChemblInteractions	inhibitor	CHEMBL1230065	BMS-582949	BMS-582949	CHEMBL1230065	
ABL1	1923	25	GuideToPharmacologyInteractions	inhibitor	9173	REBASTINIB	REBASTINIB	CHEMBL1738757	
HRH1	262	3269	GuideToPharmacologyInteractions	agonist	1195	2-(3-CHLOROPHENYL)HISTAMINE			
ADRB2	29	154	GuideToPharmacologyInteractions	antagonist	553	METOPROLOL	METOPROLOL	CHEMBL13	
CD2	TTDS00368	914	TTD	inhibitor	DAP000540	ALEFACEPT	ALEFACEPT	CHEMBL1201571	
ADRA2A	25	150	GuideToPharmacologyInteractions	antagonist	223	[3H]RAUWOLSCINE			
KCNH2	TTDS00147	3757	TTD	blocker	DAP000497	PROPAFENONE	PROPAFENONE	CHEMBL631	
P2RY4	325	5030	GuideToPharmacologyInteractions	agonist,antagonist	1713	ATP	ADENOSINE TRIPHOSPHATE	CHEMBL14249	
FLT1	1812	2321	GuideToPharmacologyInteractions	inhibitor	5962	DOVITINIB	DOVITINIB	CHEMBL522892	
EDN1	EDN1	1906	NCI		BUDESONIDE	BUDESONIDE	BUDESONIDE	CHEMBL1370	7716352
ADORA2A	19	135	GuideToPharmacologyInteractions	agonist	423	N(6)-CYCLOHEXYLADENOSINE	GRAPIPRANT	CHEMBL3039498	
CXCR4	71	7852	GuideToPharmacologyInteractions	antagonist	852	T134			
KCNV2	KCNV2	169522	ChemblInteractions	blocker	CHEMBL113461	TEDISAMIL	TEDISAMIL	CHEMBL113461	
MAP2K4	MAP2K4	6416	MyCancerGenomeClinicalTrial	inhibitor	AZD6244	AZD6244	SELUMETINIB	CHEMBL1614701	
TACR1	360	6869	GuideToPharmacologyInteractions	antagonist	5754	R116031	HYDROCORTISONE	CHEMBL389621	
TPO	P07202	7173	TdgClinicalTrial		CARBIMAZOLE	CARBIMAZOLE	CARBIMAZOLE	CHEMBL508102	
AVPR2	TTDS00111	554	TTD	agonist	DAP000018	VASOPRESSIN	VASOPRESSIN	CHEMBL373742	
EGFR	EGFR	1956	CKB		Amlexanox	Amlexanox	AMLEXANOX	CHEMBL1096	27287717
ALOX5	TTDS00112	240	TTD	inhibitor	DCL000269	LINAZOLAST	LINETASTINE	CHEMBL314338	
PSMC5	SUG1	5705	ChemblInteractions	inhibitor	CHEMBL325041	BORTEZOMIB	BORTEZOMIB	CHEMBL325041	
MET	MET	4233	MyCancerGenome	inhibitor	BMS-777607	BMS-777607	BMS-777607	CHEMBL460702	
LYN	LYN	4067	MyCancerGenome	inhibitor	BAFETINIB	BAFETINIB	BAFETINIB	CHEMBL206834	
HCAR2	Q8TDS4	338442	TdgClinicalTrial		ARI-3037MO	ARI-3037MO			
OXTR	369	5021	GuideToPharmacologyInteractions	antagonist	2219	D(CH2)5[TYR(ME)2,THR4,PHE(3I,4N3)-NH29]OVT			
	1900		GuideToPharmacologyInteractions	agonist	4975	IL-10			
GALR1	243	2587	GuideToPharmacologyInteractions	antagonist	6124	DITHIIPIN-1,1,4,4-TETROXIDE ANALOGUE 7			
EGFR	EGFR	1956	OncoKB		Gefitinib	Gefitinib	GEFITINIB	CHEMBL939	23371856,20808254,14570950,22370314,15710947,25589191,26051236,25179728,24893891,15638953,23969006,20573926,19692680,23328547,21764376,16187797,24353160,22452895,24285021,23816963,23566546,26980463,23816960,22285168,15897572,18676761,24065731,23912954,15118073,20022809,18408761,26286086,21422421,23749122,25130612,1867676,19536777,22190593,21949883,19625781,28537764,16011858,15737014,21670455,26206867,25070024,21531810,18000506,24478319,17686547,21252719
BGLAP	BGLAP	632	NCI		GM-CSF	GM-CSF	REGRAMOSTIM	CHEMBL2107881	2655592
GPR18	89	2841	GuideToPharmacologyInteractions	agonist	5525	O-1602			
PTGS1	TTDS00040	5742	TTD	inhibitor	DAP000734	SALSALATE	SALSALATE	CHEMBL154111	
SLC25A4	TTDS00405	291	TTD	inhibitor	DAP000564	CLODRONATE	CLODRONIC ACID	CHEMBL12318	
IL1B	IL1B	3553	MyCancerGenome	antibody	CANAKINUMAB	CANAKINUMAB	CANAKINUMAB	CHEMBL1201834	
TUBB3	TUBB4	10381	ChemblInteractions	inhibitor	CHEMBL428647	PACLITAXEL	PACLITAXEL	CHEMBL428647	
AURKA	1936	6790	GuideToPharmacologyInteractions	inhibitor	8863	TP-0903			
GRM7	295	2917	GuideToPharmacologyInteractions	agonist	1438	PPG			
GABRB1	P18505	2560	TEND		FLUDIAZEPAM	FLUDIAZEPAM	FLUDIAZEPAM	CHEMBL13291	
GABRA5	P31644	2558	TEND		BUTABARBITAL	BUTABARBITAL	BUTABARBITAL	CHEMBL449	
KCNMA1	Q12791	3778	TdgClinicalTrial		ENFLURANE	ENFLURANE	ENFLURANE	CHEMBL1257	
TBXA2R	346	6915	GuideToPharmacologyInteractions	antagonist	1976	VAPIPROST	VAPIPROST	CHEMBL65030	
GRIN3B	GRIN3B	116444	ChemblInteractions	blocker	CHEMBL41306	CNS-5161	CNS-5161	CHEMBL41306	
NR3C1	P04150	2908	TdgClinicalTrial		DEXAMETHASONE	DEXAMETHASONE	DEXAMETHASONE	CHEMBL384467	
PPARG	P37231	5468	TdgClinicalTrial		DB-959	DB-959	DB959	CHEMBL3545176	
NR1H4	BAR	9971	ChemblInteractions	agonist	CHEMBL240597	CHENODIOL	CHENODIOL	CHEMBL240597	
TP53	TP53	7157	CGI		Mitomycin C	Mitomycin C	MITOMYCIN	CHEMBL105	
RAF1	RAF-1	5894	MyCancerGenomeClinicalTrial	inhibitor	SORAFENIB TOSYLATE	SORAFENIB TOSYLATE	SORAFENIB TOSYLATE	CHEMBL1200485	
CD3E	T3E	916	ChemblInteractions	inhibitor	CHEMBL2109252	NI-0401	NI-0401	CHEMBL2109252	
SSTR2	356	6752	GuideToPharmacologyInteractions	antagonist	2027	BIM 23627			
DYRK1B	2010	9149	GuideToPharmacologyInteractions	inhibitor	8127	COMPOUND 3B [PMID: 23454515]			
PRMT6	1257	55170	GuideToPharmacologyInteractions	inhibitor	9243	EPZ020411			
PTGER2	341	5732	GuideToPharmacologyInteractions	antagonist	1896	AH6809	CHEMBL1317823	CHEMBL1317823	
PIK3CD	2155	5293	GuideToPharmacologyInteractions	allosteric modulator	8968	PIK-108			
ANPEP	ANPEP	290	NCI		DICLOFENAC	DICLOFENAC	DICLOFENAC	CHEMBL139	9544613
BRCA2	BRCA2	675	CKB		Chlorambucil	Chlorambucil	CHLORAMBUCIL	CHEMBL515	25193512
P2RY2	324	5029	GuideToPharmacologyInteractions	agonist	1730	4-THIO-UTP	CHEMBL1767409	CHEMBL1767409	
PDHX	PDHX	8050	NCI		ANTIOXIDANT	ANTIOXIDANT			14607783
FAAH	1400	2166	GuideToPharmacologyInteractions	inhibitor	5206	JNJ1661010			
GABRE	GABRE	2564	ChemblInteractions	positive allosteric modulator	CHEMBL970	HALAZEPAM	HALAZEPAM	CHEMBL970	
KIT	SCFR	3815	ChemblInteractions	inhibitor	CHEMBL3545021	Anlotinib	Anlotinib	CHEMBL3545021	
GABRA1	TTDS00403	2554	TTD	antagonist	DAP000686	AMOBARBITAL	AMOBARBITAL	CHEMBL267894	
AKT2	1480	208	GuideToPharmacologyInteractions	inhibitor	5196	GSK690693	GSK-690693	CHEMBL494089	
GNRHR	TTDS00273	2798	TTD	antagonist	DCL000650	TAK-385	Relugolix	CHEMBL1800159	
AR	DHTR	367	ChemblInteractions	modulator	CHEMBL3542265	LY2452473	LY2452473	CHEMBL3542265	
HBB	P68871	3043	TdgClinicalTrial		AES-103	AES-103			
TUBB4B	TUBB2C	10383	ChemblInteractions	inhibitor	CHEMBL2103852	CROLIBULIN	CROLIBULIN	CHEMBL2103852	
ADRA2B	26	151	GuideToPharmacologyInteractions	antagonist	102	YOHIMBINE	YOHIMBINE	CHEMBL15245	
HTR1B	2	3351	GuideToPharmacologyInteractions	agonist	122	DIPROPYL-5-CT	CHEMBL1332062	CHEMBL1332062	
PIK3CA	PIK3CA	5290	ChemblInteractions	inhibitor	CHEMBL1236962	OMIPALISIB	OMIPALISIB	CHEMBL1236962	
UGT1A4	UGT1A4	54657	NCI		TACROLIMUS	TACROLIMUS	TACROLIMUS	CHEMBL269732	10051052
EDNRA	P25101	1909	TdgClinicalTrial		PS433540	PS433540	SPARSENTAN	CHEMBL539423	
SAA1	SAA1	6288	NCI		IL-1RA	IL-1RA	ANAKINRA	CHEMBL1201570	1717568
	N/A		MyCancerGenomeClinicalTrial	inhibitor	PASIREOTIDE	PASIREOTIDE	PASIREOTIDE	CHEMBL3039583	
F10	F10	2159	ChemblInteractions	inhibitor	CHEMBL2105682	EDOXABAN TOSYLATE	EDOXABAN TOSYLATE	CHEMBL2105682	
ADRA1B	ADRA1B	147	ChemblInteractions	agonist	CHEMBL1200791	OXYMETAZOLINE HYDROCHLORIDE	OXYMETAZOLINE HYDROCHLORIDE	CHEMBL1200791	
CDK9	P50750	1025	TdgClinicalTrial		ALVOCIDIB	ALVOCIDIB	ALVOCIDIB	CHEMBL428690	
HSPA4	HSPA4	3308	NCI		ENALAPRIL	ENALAPRIL	ENALAPRIL	CHEMBL578	12047041
HTR2A	HTR2	3356	ChemblInteractions	antagonist	CHEMBL1201060	LOXAPINE HYDROCHLORIDE	LOXAPINE HYDROCHLORIDE	CHEMBL1201060	
MPL	TTDS00524	4352	TTD	agonist	DCL000960	RHTPO			
IFNLR1	Q8IU57	163702	TdgClinicalTrial		PEG-INTERFERON LAMBA	PEG-INTERFERON LAMBA			
ITGB2	ITGB2	3689	NCI		METHYLPREDNISOLONE	METHYLPREDNISOLONE	METHYLPREDNISOLONE	CHEMBL650	8976974
MAPK10	1498	5602	GuideToPharmacologyInteractions	inhibitor	8058	JNK-IN-8	HEXANE	CHEMBL15939	
F9	P08709	2158	TdgClinicalTrial		RECOMBINANT NEMATODE ANTICOAGULANT PROTEIN C2	RECOMBINANT NEMATODE ANTICOAGULANT PROTEIN C2			
NFE2L2	NFE2L2	4780	NCI		STAUROSPORINE	STAUROSPORINE	STAUROSPORINE	CHEMBL388978	11035812
ADRA1B	23	147	GuideToPharmacologyInteractions	antagonist	488	TAMSULOSIN	TAMSULOSIN	CHEMBL836	
BCL2	BCL2	596	NCI		DOXORUBICIN	DOXORUBICIN	DOXORUBICIN	CHEMBL53463	16749867
CYP2B6	CYP2B6	1555	NCI		O6-BENZYLGUANINE	O6-BENZYLGUANINE	6-O-BENZYLGUANINE	CHEMBL407874	7503788
KLK3	KLK3	354	NCI		BISPECIFIC ANTIBODY	BISPECIFIC ANTIBODY			10928069
PIK3CG	PIK3CG	5294	NCI		MANNITOL	MANNITOL	MANNITOL	CHEMBL689	10811601
PDE3A	TTDS00390	5139	TTD	inhibitor	DAP000612	ANAGRELIDE	ANAGRELIDE	CHEMBL760	
GABRA1	404	2554	GuideToPharmacologyInteractions	channel blocker	4369	[35S]TBPS			
ERBB2	ERBB2	2064	CGI		Tensirolimus	Tensirolimus			
SLC6A4	928	6532	GuideToPharmacologyInteractions	inhibitor	7118	ATOMOXETINE	ATOMOXETINE	CHEMBL641	
CACNG2	CACNG2	10369	ChemblInteractions	modulator	CHEMBL1628502	GABAPENTIN ENACARBIL	GABAPENTIN ENACARBIL	CHEMBL1628502	
BCHE	BCHE	590	NCI		DONEPEZIL	DONEPEZIL	DONEPEZIL	CHEMBL502	15989517,16083542
CHRM2	CHRM2	1129	ChemblInteractions	antagonist	CHEMBL1240	PROPANTHELINE BROMIDE	PROPANTHELINE BROMIDE	CHEMBL1240	
FGFR3	FGFR-3	2261	TALC	inhibitor	PONATINIB	PONATINIB	PONATINIB	CHEMBL1171837	
PIK3R1	GRB1	5295	ChemblInteractions	inhibitor	CHEMBL3360203	PILARALISIB	PILARALISIB (CHEMBL3360203)	CHEMBL3360203	
MAP2K1	MAP2K1	5604	CKB		DEL-22379	DEL-22379			26267534
KDM1A	2669	23028	GuideToPharmacologyInteractions	inhibitor	7024	NCL-1	CHEMBL1797639	CHEMBL1797639	
NPBWR2	304	2832	GuideToPharmacologyInteractions	agonist	1495	NEUROPEPTIDE W-23			
ADRA2A	25	150	GuideToPharmacologyInteractions	antagonist	503	PRAZOSIN	PRAZOSIN	CHEMBL2	
F9	P00740	2158	TdgClinicalTrial		RECOMBINANT ANTIHEMOPHILIC FACTOR	RECOMBINANT ANTIHEMOPHILIC FACTOR			
PSMC5	SUG1	5705	ChemblInteractions	inhibitor	CHEMBL3545432	IXAZOMIB CITRATE	IXAZOMIB CITRATE	CHEMBL3545432	
EPCAM	EP-CAM	4072	TALC	antibody	CATUMAXOMAB	CATUMAXOMAB	CATUMAXOMAB	CHEMBL2108581	
CDKN1B	CDKN1B	1027	NCI		VINCRISTINE	VINCRISTINE	VINCRISTINE	CHEMBL90555	12576455
SLC6A4	P31645	6532	TdgClinicalTrial		METHYLPHENIDATE	METHYLPHENIDATE	METHYLPHENIDATE	CHEMBL796	
BGLAP	BGLAP	632	NCI		ATORVASTATIN	ATORVASTATIN	ATORVASTATIN	CHEMBL1487	16820635
HTR1F	5	3355	GuideToPharmacologyInteractions	antagonist	150	METHYLERGONOVINE	METHYLERGONOVINE	CHEMBL1201356	
HTR2C	8	3358	GuideToPharmacologyInteractions	antagonist	7351	VORTIOXETINE	VORTIOXETINE	CHEMBL2104993	
FGF2	FGF2	2247	TALC	suppressor	GSK3052230	GSK3052230			
ADORA2B	20	136	GuideToPharmacologyInteractions	antagonist	381	AS100			
FGFR1	1808	2260	GuideToPharmacologyInteractions	inhibitor	8189	CEP-11981	CEP-11981	CHEMBL2010872	
FLT4	P35916	2324	TdgClinicalTrial		TELATINIB	TELATINIB	TELATINIB	CHEMBL2079588	
ABCB1	ABCB1	5243	NCI		G-CSF	G-CSF	FILGRASTIM	CHEMBL1201567	7564516
HDAC1	TTDS00095	3065	TTD	inhibitor	DCL000207	PXD101	BELINOSTAT	CHEMBL408513	
GABRE	GABRE	2564	ChemblInteractions		CHEMBL1102	GLUTETHIMIDE	GLUTETHIMIDE	CHEMBL1102	
SYK	2230	6850	GuideToPharmacologyInteractions	inhibitor	9611	ER-27319			
CD40	CD40	958	NCI		STREPTOZOTOCIN	STREPTOZOTOCIN	STREPTOZOTOCIN	CHEMBL1651906	15016184,11937525
TUBB2A	TUBB2	7280	ChemblInteractions	inhibitor	CHEMBL552212	LEXIBULIN	LEXIBULIN	CHEMBL552212	
LAMA5	LAMA5	3911	NCI		RBC	RBC	ANTAZOLINE HYDROCHLORIDE	CHEMBL1256819	9763582
AFP	AFP	174	NCI		POLYETHYLENE GLYCOL	POLYETHYLENE GLYCOL	POLYETHYLENE GLYCOL	CHEMBL1201478	7543774
CCR1	58	1230	GuideToPharmacologyInteractions	antagonist	757	CCL4			
	27		GuideToPharmacologyInteractions	antagonist	56	TERGURIDE	TERGURIDE	CHEMBL73151	
CD3E	P07766	916	TdgClinicalTrial		MUROMONAB	MUROMONAB	MUROMONAB-CD3	CHEMBL1201608	
HRH1	P35367	3269	TEND		CYPROHEPTADINE	CYPROHEPTADINE	CYPROHEPTADINE	CHEMBL516	
GPD2	GPD2	2820	NCI		HYDROGEN PEROXIDE	HYDROGEN PEROXIDE	HYDROGEN PEROXIDE	CHEMBL71595	15209538
ADORA2A	ADORA2	135	ChemblInteractions	antagonist	CHEMBL197669	ST1535	ST1535	CHEMBL197669	
RET	2185	5979	GuideToPharmacologyInteractions	inhibitor	8189	CEP-11981	CEP-11981	CHEMBL2010872	
GNAS	GNAS	2778	CIViC		5-FLUOROURACIL	5-FLUOROURACIL	FLUOROURACIL	CHEMBL185	19274060
HTR1D	3	3352	GuideToPharmacologyInteractions	agonist	125	TRYPTAMINE	TRYPTAMINE	CHEMBL6640	
ITGAL	ITGAL	3683	NCI		ANTITHYMOCYTE GLOBULIN	ANTITHYMOCYTE GLOBULIN			8970608,9389690
CPT2	1376	1376	GuideToPharmacologyInteractions	inhibitor	2896	ETORICOXIB	ETORICOXIB	CHEMBL416146	
KAT2B	2737	8850	GuideToPharmacologyInteractions	inhibitor	7036	LYS-COA			
PTEN	PTEN	5728	CKB		MS417	MS417			26058079
ADORA3	21	140	GuideToPharmacologyInteractions	antagonist	399	MRS1093	CHEMBL449090	CHEMBL449090	
GABRB1	GABRB1	2560	ChemblInteractions		CHEMBL2068724	ACAMPROSATE CALCIUM	ACAMPROSATE CALCIUM	CHEMBL2068724	
IL13	TTDC00177	3596	TTD	antibody	DCL000503	CAT-354	TRALOKINUMAB	CHEMBL1743081	
OPRM1	P35372	4988	TEND		METHADONE	METHADONE	METHADONE	CHEMBL651	
ERBB2	HER2	2064	ChemblInteractions	inhibitor	CHEMBL3544956	Pyrotinib	Pyrotinib	CHEMBL3544956	
ADRB2	P07550	154	TdgClinicalTrial		ARFORMOTEROL	ARFORMOTEROL	ARFORMOTEROL	CHEMBL1363	
RXFP1	351	59350	GuideToPharmacologyInteractions	agonist	1989	RELAXIN	RELAXIN	CHEMBL2107882	
BIRC2	API1	329	ChemblInteractions	inhibitor	CHEMBL3039522	BIRINAPANT	BIRINAPANT	CHEMBL3039522	
CYP3A4	CYP3A4	1576	NCI		VALERIAN	VALERIAN	VALERIAN	CHEMBL2108165	17214607
SCN5A	SCN5A	6331	ChemblInteractions	blocker	CHEMBL1769	PROPOXYCAINE HYDROCHLORIDE	PROPOXYCAINE HYDROCHLORIDE	CHEMBL1769	
ADORA2A	19	135	GuideToPharmacologyInteractions	agonist	373	2-HEXYNYL-NECA	CHEMBL410873	CHEMBL410873	
ADRB3	30	155	GuideToPharmacologyInteractions	agonist	3931	L 755507	L-755507	CHEMBL12998	
GABRG3	415	2567	GuideToPharmacologyInteractions	channel blocker	4320	TBPS	T-BUTYLBICYCLOPHOSPHOROTHIONATE	CHEMBL485673	
GCLC	GCLC	2729	NCI		ANTIOXIDANT	ANTIOXIDANT			15485876
TOP2A	TOP2A	7153	ClearityFoundationBiomarkers		LIPOSOMAL DOXORUBICIN	LIPOSOMAL DOXORUBICIN			
FLT4	VEGFR-3	2324	TALC	inhibitor	REGORAFENIB	REGORAFENIB	REGORAFENIB	CHEMBL1946170	
PTGER3	342	5733	GuideToPharmacologyInteractions	antagonist	1941	L-798,106			
FUS	FUS	2521	NCI		ATRA	ATRA	TRETINOIN	CHEMBL38	10691862
MDH2	MDH2	4191	NCI		CISPLATIN	CISPLATIN			15225672
IFI27	IFI27	3429	NCI		RETINOIDS	RETINOIDS	ETRETINATE	CHEMBL464	15086558
MMP2	MMP2	4313	NCI		RESVERATROL	RESVERATROL	RESVERATROL	CHEMBL165	16084059
BCL2L2	BCLW	599	ChemblInteractions	inhibitor	CHEMBL2107358	OBATOCLAX MESYLATE	OBATOCLAX MESYLATE	CHEMBL2107358	
GABRA3	P34903	2556	TEND		PENTOBARBITAL	PENTOBARBITAL	PENTOBARBITAL	CHEMBL448	
KIT	1805	3815	GuideToPharmacologyInteractions	inhibitor	5712	SU-14813	SU-14813	CHEMBL3545160	
BIRC5	BIRC5	332	NCI		CAMPTOTHECIN	CAMPTOTHECIN	CAMPTOTHECIN	CHEMBL65	16211302
TRPC6	491	7225	GuideToPharmacologyInteractions	channel blocker	2346	H+	GADOBENATE DIMEGLUMINE	CHEMBL1200571	
CHRM5	P08912	1133	TdgClinicalTrial		ATROPINE	ATROPINE	ATROPINE	CHEMBL517712	
NTF3	NTF3	4908	NCI		CYCLOPHOSPHAMIDE	CYCLOPHOSPHAMIDE	CYCLOPHOSPHAMIDE	CHEMBL88	10683293
TACR2	361	6865	GuideToPharmacologyInteractions	antagonist	2117	IBODUTANT	Ibodutant	CHEMBL266125	
RXFP4	354	339403	GuideToPharmacologyInteractions	agonist	6522	EUROPIUM-LABELLED MOUSE INSL5			
KCNA10	KCNA10	3744	ChemblInteractions	blocker	CHEMBL113461	TEDISAMIL	TEDISAMIL	CHEMBL113461	
HDAC10	HDAC10	83933	ChemblInteractions	inhibitor	CHEMBL27759	ENTINOSTAT	ENTINOSTAT	CHEMBL27759	
