drug_claim_name	drug_name	chembl_id	drug_claim_source
AVE1642	AVE-1642	CHEMBL2109357	TALC
2451	NADIDE	CHEMBL1234613	GuideToPharmacologyInteractions
LICOSTINEL	LICOSTINEL	CHEMBL289832	PubChem
IBANDRONIC ACID			PubChem
CHEMBL1201748	CABAZITAXEL	CHEMBL1201748	ChemblInteractions
SUFUGOLIX	SUFUGOLIX	CHEMBL22055	PubChem
CHEMBL527018	CHEMBL527018	CHEMBL527018	PubChem
2163	CHEMBL93758	CHEMBL93758	GuideToPharmacologyInteractions
MIDAZOLAM	MIDAZOLAM	CHEMBL655	TEND
7353	VILANTEROL	CHEMBL1198857	GuideToPharmacologyInteractions
KANGBINGFENG	CHEMBL1253320	CHEMBL1253320	PubChem
9643			GuideToPharmacologyInteractions
CAPECITABINE	CAPECITABINE	CHEMBL1773	ClearityFoundationBiomarkers
TRANDOLAPRILAT	TRANDOLAPRILAT	CHEMBL1201387	PubChem
DCL000623	RONTALIZUMAB	CHEMBL1743066	TTD
2069			GuideToPharmacologyInteractions
PIXY			NCI
PSN-101	SITAXENTAN	CHEMBL282724	PubChem
DAP000271	ROSIGLITAZONE	CHEMBL121	TTD
BENFLUMETOL	CHEMBL38827	CHEMBL38827	PubChem
CHEMBL2103743	TOFACITINIB CITRATE	CHEMBL2103743	ChemblInteractions
N-METHYL-D-ASPARTIC ACID	N-METHYL-D-ASPARTIC ACID (NMDA)	CHEMBL291278	PubChem
CORTANCYL	CHEMBL1507567	CHEMBL1507567	PubChem
(S)-ATPA	CHEMBL27130	CHEMBL27130	PubChem
4858	PJ34 (CHEMBL372303)	CHEMBL372303	GuideToPharmacologyInteractions
ZINC12504272	CHEMBL1084102	CHEMBL1084102	PubChem
LY2940680	TALADEGIB	CHEMBL2142592	MyCancerGenomeClinicalTrial
2143	TALTIRELIN	CHEMBL2107016	GuideToPharmacologyInteractions
OCTOPRESSIN	FELYPRESSIN	CHEMBL1908309	PubChem
1858			GuideToPharmacologyInteractions
AREDIA	PAMIDRONATE DISODIUM	CHEMBL676	PubChem
DCL000355	KRN-633	CHEMBL406381	TTD
5018	LOXORIBINE	CHEMBL292008	GuideToPharmacologyInteractions
IPILIMUMAB	IPILIMUMAB	CHEMBL1789844	CancerCommons
DAP000987	TEMOZOLOMIDE	CHEMBL810	TTD
ANTINEOPLASTIC AGENT			NCI
ELACYTARABINE	ELACYTARABINE	CHEMBL2105665	PubChem
2331	SENICAPOC	CHEMBL405821	GuideToPharmacologyInteractions
REMACEMIDE HYDROCHLORIDE	REMACEMIDE HYDROCHLORIDE	CHEMBL1448437	PubChem
THIOLACTOMYCIN	THIOLACTOMYCIN	CHEMBL399043	PubChem
LU 02-750			TdgClinicalTrial
TEZAMPANEL	TEZAMPANEL	CHEMBL14935	TdgClinicalTrial
UNII-Q1B712V03A	CHEMBL1671897	CHEMBL1671897	PubChem
CHEMBL521105	CHEMBL521105	CHEMBL521105	PubChem
23981-80-8	NAPROXEN	CHEMBL154	PubChem
CYPROHEPTADINE HYDROCHLORIDE	CYPROHEPTADINE HYDROCHLORIDE	CHEMBL1716	NCI
ASCORBIC ACID			PubChem
DCL000887	SONEDENOSON	CHEMBL1950553	TTD
392	CHEMBL72862	CHEMBL72862	GuideToPharmacologyInteractions
6742-12-7	FORMYCIN	CHEMBL471524	PubChem
RG3039			TdgClinicalTrial
DIMETHYL FUMARATE			PubChem
DCL000929	PHENYLBUTANOIC ACID	CHEMBL1469	TTD
MRX-801			TdgClinicalTrial
CHEMBL460962	CHEMBL460962	CHEMBL460962	PubChem
DANTROLENE			PubChem
AM103	ILOPERIDONE	CHEMBL14376	PubChem
SPECTRUM_001522	AMCINONIDE	CHEMBL1200732	PubChem
CHEMBL3545142	Olocrolimus	CHEMBL3545142	ChemblInteractions
ENALAPRILAT HYDRATE	ENALAPRILAT HYDRATE	CHEMBL1200697	PubChem
CHEMBL1200549	RAPACURONIUM BROMIDE	CHEMBL1200549	ChemblInteractions
LEVORPHANOL TARTRATE	LEVORPHANOL TARTRATE	CHEMBL2062261	PubChem
ABACAVIR SUCCINATE	ABACAVIR SUCCINATE	CHEMBL2106686	PubChem
3-(DIPHENYLMETHOXY)-8-METHYL-8-AZABICYCLO[3.2.1]OCTANE	CHEMBL116590	CHEMBL116590	PubChem
5056	SEMAXANIB	CHEMBL276711	GuideToPharmacologyInteractions
FORMESTANE	FORMESTANE	CHEMBL132530	PubChem
7571			GuideToPharmacologyInteractions
LORATADINE	LORATADINE	CHEMBL998	PubChem
CHEMBL1201610	CORTICOTROPIN	CHEMBL1201610	ChemblInteractions
ALENDRONATE	ALENDRONIC ACID	CHEMBL870	TdgClinicalTrial
CHEMBL3545417	GLPG0492	CHEMBL3545417	ChemblInteractions
CHEMBL3544988	DAPRODUSTAT	CHEMBL3544988	ChemblInteractions
DAP000481			TTD
AM-211	AM-211	CHEMBL2181753	TdgClinicalTrial
CLOMIFENE			TdgClinicalTrial
METHOXSALEN	METHOXSALEN	CHEMBL416	PubChem
ABT-806	DEPATUXIZUMAB	CHEMBL3707294	MyCancerGenome
6695			GuideToPharmacologyInteractions
8632			GuideToPharmacologyInteractions
MAXY-G34			TdgClinicalTrial
GDC0879	CHEMBL525191	CHEMBL525191	CKB
SILYMARIN			NCI
806	MARAVIROC	CHEMBL1201187	GuideToPharmacologyInteractions
9156			GuideToPharmacologyInteractions
GDC-0973	COBIMETINIB	CHEMBL2146883	CancerCommons
RIFAMPIN	RIFAMPICIN	CHEMBL374478	PubChem
N-[(1-CHLORO-4-HYDROXYISOQUINOLIN-3-YL)CARBONYL]GLYCINE	CHEMBL426560	CHEMBL426560	PubChem
6196	OXACILLIN	CHEMBL819	GuideToPharmacologyInteractions
ISOSORBIDE-5-MONONITRATE	ISOSORBIDE MONONITRATE	CHEMBL1311	TdgClinicalTrial
Carglumic Acid	CARGLUMIC ACID	CHEMBL1201780	FDA
COLCHICINE	COLCHICINE	CHEMBL107	NCI
GUE 1654			PubChem
137403-12-4	L-694247	CHEMBL39317	PubChem
LX4211	SOTAGLIFLOZIN	CHEMBL3039507	TdgClinicalTrial
KETAMINE	KETAMINE	CHEMBL742	TEND
AMINOPHOSPHONIC ACID-GUANYLATE ESTER			PubChem
CHEMBL3833344	MM-302	CHEMBL3833344	ChemblInteractions
TETRABENAZINE	TETRABENAZINE	CHEMBL117785	TdgClinicalTrial
2439	NIFLUMIC ACID	CHEMBL63323	GuideToPharmacologyInteractions
L-162,313	CHEMBL288174	CHEMBL288174	PubChem
FLUOCINONIDE	FLUOCINONIDE	CHEMBL1501	PubChem
URSODEOXY CHOLIC ACID	TAUROURSODEOXYCHOLATE	CHEMBL272427	PubChem
GTPL6366			PubChem
AAO			PubChem
DCL000728			TTD
(2S)-2-AMINO-4-[[(1R)-1-(CARBOXYMETHYLCARBAMOYL)-2-(HYDROXYMETHYLSULFANYL)ETHYL]CARBAMOYL]BUTANOIC ACID			PubChem
DAP001028	HUMAN FSH	CHEMBL1201692	TTD
DCL000961	RILONACEPT	CHEMBL1201830	TTD
CHEMBL2103791	ADIPIPLON	CHEMBL2103791	ChemblInteractions
HYDROXYUREA	HYDROXYUREA	CHEMBL467	PubChem
4891			GuideToPharmacologyInteractions
LY-517717	CHEMBL1271162	CHEMBL1271162	TdgClinicalTrial
DCL001136			TTD
COUMARIN	COUMARIN	CHEMBL6466	PubChem
CHEMBL437348	CHEMBL437348	CHEMBL437348	PubChem
TOLAZOLINE HYDROCHLORIDE	TOLAZOLINE HYDROCHLORIDE	CHEMBL1689	PubChem
MOSAPRIDE	MOSAPRIDE	CHEMBL60889	TdgClinicalTrial
D1-HYOSCYAMINE	ATROPINE	CHEMBL517712	PubChem
8254	OZANEZUMAB	CHEMBL2108679	GuideToPharmacologyInteractions
ROPIVACAINA [SPANISH]	ROPIVACAINE	CHEMBL1077896	PubChem
SB 243213	SB-243213	CHEMBL14460	PubChem
TEMSIROLIMUS			PubChem
CHEMBL3265032	ENTOSPLETINIB	CHEMBL3265032	ChemblInteractions
DAP000124	GUANETHIDINE	CHEMBL765	TTD
AMIODARONE	AMIODARONE	CHEMBL633	TdgClinicalTrial
BEVANTOLOL	BEVANTOLOL	CHEMBL314010	PubChem
DPR000081	CHEMBL438914	CHEMBL438914	TTD
EDECRIN SODIUM	ETHACRYNATE SODIUM	CHEMBL1200487	PubChem
PRESTWICK_510	NEOMYCIN SULFATE	CHEMBL1275977	PubChem
NICOTINE	NICOTINE	CHEMBL3	NCI
2053			GuideToPharmacologyInteractions
CHEMBL151437	CHEMBL151437	CHEMBL151437	PubChem
(TERT-BUTYLOXYCARBONYL)-ALANYL-ALANYL-AMINE			PubChem
6494	DABRAFENIB	CHEMBL2028663	GuideToPharmacologyInteractions
MET INHIBITION, ERBB3 INHIBITION			CIViC
Bosutinib	BOSUTINIB	CHEMBL288441	FDA
PLICAMYCIN	PLICAMYCIN	CHEMBL1237054	PubChem
SCHEMBL2109482			PubChem
HYDROGEN PEROXIDE	HYDROGEN PEROXIDE	CHEMBL71595	NCI
CHEMBL117287	PRUCALOPRIDE	CHEMBL117287	ChemblInteractions
7634			GuideToPharmacologyInteractions
MRE-269	CHEMBL239226	CHEMBL239226	PubChem
6185			GuideToPharmacologyInteractions
IPL455			TdgClinicalTrial
CHEMBL3301607	FILGOTINIB	CHEMBL3301607	ChemblInteractions
paclitaxel	PACLITAXEL	CHEMBL428647	CKB
TNF-ALPHA ADENOVECTOR			TdgClinicalTrial
INAPETYL	BENZPHETAMINE HYDROCHLORIDE	CHEMBL3544906	PubChem
DAP000508	MEPHENYTOIN	CHEMBL861	TTD
6-AMINOHEXANOATE	AMINOCAPROIC ACID	CHEMBL1046	PubChem
90315-82-5	PHENYLBUTANOIC ACID	CHEMBL1469	PubChem
1433			GuideToPharmacologyInteractions
1-(1-METHYLETHYL)-3-QUINOLIN-6-YL-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-AMINE	CHEMBL1233882	CHEMBL1233882	PubChem
PHENACETIN	PHENACETIN	CHEMBL16073	PubChem
FENOPROFEN	FENOPROFEN	CHEMBL1297	TEND
LAPATINIB	LAPATINIB	CHEMBL554	TEND
2182			GuideToPharmacologyInteractions
3MS7			PubChem
VANDETANIB	VANDETANIB	CHEMBL24828	MyCancerGenomeClinicalTrial
DCL000217	BARDOXOLONE METHYL	CHEMBL1762621	PubChem
DCL000714	BALICATIB	CHEMBL371064	TTD
PALBOCICLIB	PALBOCICLIB	CHEMBL189963	PubChem
ADENOSINE 2'-(DIHYDROGEN PHOSPHATE) 5'-(TRIHYDROGEN DIPHOSPHATE)			PubChem
FLURAZEPAM			PubChem
EMODIN	EMODIN	CHEMBL289277	NCI
PHENOBARBITAL	PHENOBARBITAL	CHEMBL40	TEND
FLT-3 INHIBITOR III	CHEMBL2218935	CHEMBL2218935	PubChem
CHEBI:44930			PubChem
METIXENE			PubChem
N-ETHYL-N'-[(3S,4AS,10AR)-6-HYDROXY-1-PROPYL-1,2,3,4,4A,5,10,10A-OCTAHYDROBENZO[G]QUINOLIN-3-YL]SULFURIC DIAMIDE HYDROCHLORIDE(1:1)	QUINAGOLIDE (CHEMBL290962)	CHEMBL290962	PubChem
CHEMBL462170	CHEMBL462170	CHEMBL462170	PubChem
FAD-NA2	FLAVIN ADENINE DINUCLEOTIDE	CHEMBL1232653	PubChem
5-OXO-ETRE			PubChem
DAP000896	ISOFLUROPHATE	CHEMBL1025	TTD
CHEMBL3545215	BMS-911543	CHEMBL3545215	ChemblInteractions
RPL-554			TdgClinicalTrial
2308			GuideToPharmacologyInteractions
3766	CLOZAPINE	CHEMBL42	GuideToPharmacologyInteractions
VANDETANIB	VANDETANIB	CHEMBL24828	TALC
Methotrexate	METHOTREXATE	CHEMBL34259	CKB
6122			GuideToPharmacologyInteractions
T-DM1	T-DM1	CHEMBL2109399	CKB
NISOLDIPINE	NISOLDIPINE	CHEMBL1726	PubChem
189	CHEMBL297784	CHEMBL297784	GuideToPharmacologyInteractions
5904	CHEMBL455536	CHEMBL455536	GuideToPharmacologyInteractions
1273	CHEMBL67601	CHEMBL67601	GuideToPharmacologyInteractions
9-(5,5-DIFLUORO-5-PHOSPHONOPENTYL)GUANINE	CHEMBL236708	CHEMBL236708	PubChem
2270			GuideToPharmacologyInteractions
BRICANYL TURBUHALER	TERBUTALINE SULFATE	CHEMBL1160544	PubChem
DCL000222	TANDUTINIB	CHEMBL124660	TTD
CHEMBL2151197	PF-03654746	CHEMBL2151197	ChemblInteractions
2-HYDROXYETHYL DISULFIDE	CHEMBL1233278	CHEMBL1233278	PubChem
SC-435			PubChem
TENOFOVIR HYDRATE	TENOFOVIR	CHEMBL483	PubChem
BAY 869766	Refametinib	CHEMBL2138601	ClearityFoundationClinicalTrial
6215	FLUOCINOLONE ACETONIDE	CHEMBL989	GuideToPharmacologyInteractions
VISNAGIN	VISNAGIN	CHEMBL45176	PubChem
DCL000746	CERTOLIZUMAB PEGOL	CHEMBL1201831	TTD
DG3173			TdgClinicalTrial
SND			PubChem
NATEGLINIDE	NATEGLINIDE	CHEMBL783	PubChem
1-(9-ETHYL-9H-CARBAZOL-3-YL)-N-METHYLMETHANAMINE	CHEMBL1235116	CHEMBL1235116	PubChem
CHEMBL2107371	SELODENOSON	CHEMBL2107371	ChemblInteractions
ZINC00006923			PubChem
CHEMBL16	PHENYTOIN	CHEMBL16	ChemblInteractions
PF-3512676			TALC
RUCAPARIB	RUCAPARIB	CHEMBL1173055	TALC
PICROTOXIN	PICROTOXIN	CHEMBL1908342	PubChem
LETROZOLE	LETROZOLE	CHEMBL1444	CIViC
4303	RYANODINE	CHEMBL2112186	GuideToPharmacologyInteractions
D-GLUCOSAMINE	GLUCOSAMINE	CHEMBL606759	PubChem
SODIUM ION			PubChem
(2R)-1-[4-({6-[(2,6-DIFLUOROPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)PHENOXY]-3-(DIMETHYLAMINO)PROPAN-2-OL			PubChem
SB 218795	CHEMBL9843	CHEMBL9843	PubChem
1204	HISTAMINE	CHEMBL90	GuideToPharmacologyInteractions
MEPENZOLATE	MEPENZOLATE	CHEMBL524004	TdgClinicalTrial
3492			GuideToPharmacologyInteractions
SAR302503	FEDRATINIB	CHEMBL1287853	MyCancerGenome
Afuresertib	AFURESERTIB	CHEMBL2219422	CKB
DCL001072	GSK-1070916	CHEMBL1090479	TTD
CONIVAPTAN	CONIVAPTAN	CHEMBL1755	PubChem
CHEMBL1102	GLUTETHIMIDE	CHEMBL1102	ChemblInteractions
SECOBARBITAL	SECOBARBITAL	CHEMBL447	TdgClinicalTrial
5-[(Z)-(5-CHLORO-2-OXO-1,2-DIHYDRO-3H-INDOL-3-YLIDENE)METHYL]-N-(DIETHYLAMINO)ETHYL]-2,4-DIMETHYL-1H-PYRROLE-3-CARBOXAMIDE			PubChem
GR100679	CHEMBL174356	CHEMBL174356	PubChem
STRONTIUM RANELATE	STRONTIUM RANELATE	CHEMBL3707306	PubChem
Ticagrelor	TICAGRELOR	CHEMBL398435	FDA
ORPHENADRINE CITRATE	ORPHENADRINE CITRATE	CHEMBL1200395	PubChem
DCL000721	LINETASTINE	CHEMBL314338	TTD
DB04121			PubChem
CHEMBL483321	CP-724714	CHEMBL483321	ChemblInteractions
PEMETREXED DISODIUM HEPTAHYDRATE	PEMETREXED DISODIUM	CHEMBL1200373	PubChem
NORGESTIMATE	NORGESTIMATE	CHEMBL1200934	TdgClinicalTrial
Asparaginase	ASPARAGINASE	CHEMBL2108989	CKB
ETHAMBUTOL			PubChem
1434	FENOBAM	CHEMBL239800	GuideToPharmacologyInteractions
UNII-4D56ANR2VD	SARIZOTAN	CHEMBL220808	PubChem
AC1O7GQ3	CHEMBL1456744	CHEMBL1456744	PubChem
CPD000059117			PubChem
891494-63-6	SCH-900776	CHEMBL2386889	PubChem
5964			GuideToPharmacologyInteractions
DCL000779	AMITIFADINE	CHEMBL592374	TTD
ERYTHROPOIESIS-STIMULATING AGENT			TdgClinicalTrial
CHEMBL1743000	CITATUZUMAB BOGATOX	CHEMBL1743000	ChemblInteractions
R1507	TEPROTUMUMAB	CHEMBL1743079	CIViC
VIDOFLUDIMUS	CHEMBL197194	CHEMBL197194	TdgClinicalTrial
2926	CHEMBL224720	CHEMBL224720	GuideToPharmacologyInteractions
PYR3			PubChem
DCL000373	RETOSIBAN	CHEMBL429736	PubChem
SAXAGLIPTIN	SAXAGLIPTIN	CHEMBL385517	TEND
DPR000029			TTD
CHEMBL2062154	CI-988	CHEMBL2062154	ChemblInteractions
1-[(4-AMINO-2-METHYLPYRIMIDIN-5-YL)METHYL]-3-(2-{[HYDROXY(PHOSPHONOOXY)PHOSPHORYL]OXY}ETHYL)-2-METHYLPYRIDINIUM			PubChem
9065	PHENYLPROPANOLAMINE HYDROCHLORIDE	CHEMBL1200695	GuideToPharmacologyInteractions
N-[(CYCLOHEXYLAMINO)CARBONYL]GLYCINE	CHEMBL66380	CHEMBL66380	PubChem
6469	LEPIRUDIN	CHEMBL1201666	GuideToPharmacologyInteractions
GEFITINIBIRESSA	GEFITINIB	CHEMBL939	TALC
GTPL4275			PubChem
TOPOISOMERASE-I INHIBITOR			NCI
COMPB	J-113,397	CHEMBL357076	PubChem
6590			GuideToPharmacologyInteractions
CHEMBL1160544	TERBUTALINE SULFATE	CHEMBL1160544	ChemblInteractions
DARUSENTAN	DARUSENTAN	CHEMBL23261	PubChem
ETHINYL ESTRADIOL	ETHINYL ESTRADIOL	CHEMBL691	NCI
DAP001439			TTD
NS004	CHEMBL375448	CHEMBL375448	PubChem
8583	CHEMBL1233686	CHEMBL1233686	GuideToPharmacologyInteractions
9058	PF-03654746	CHEMBL2151197	GuideToPharmacologyInteractions
ESTRADIOL-3-ACETATE	ESTRADIOL ACETATE (CHEMBL1200430)	CHEMBL1200430	PubChem
L-MENTHOL	MENTHOL	CHEMBL256087	PubChem
8744			GuideToPharmacologyInteractions
6544			GuideToPharmacologyInteractions
920	CHEMBL1236539	CHEMBL1236539	GuideToPharmacologyInteractions
CISPLATINUM	CISPLATIN (CHEMBL2068237)	CHEMBL2068237	NCI
DCL001216			TTD
CRA-024781	ABEXINOSTAT	CHEMBL2103863	TdgClinicalTrial
2123	NEPADUTANT	CHEMBL1908318	GuideToPharmacologyInteractions
METHYL D-MANNOPYRANOSIDE	CHEMBL195368	CHEMBL195368	PubChem
1968	TAPROSTENE	CHEMBL2104890	GuideToPharmacologyInteractions
NEFAZODONE	NEFAZODONE	CHEMBL623	TEND
2688	CHEMBL23296	CHEMBL23296	GuideToPharmacologyInteractions
QUINACRINE ACETATE			PubChem
UNII-0T87WD317S	CHEMBL255306	CHEMBL255306	PubChem
1656	U-69593	CHEMBL440765	GuideToPharmacologyInteractions
GTPL7522			PubChem
DCL000799	EPRATUZUMAB	CHEMBL2108404	TTD
VINORELBINE	VINORELBINE BASE	CHEMBL553025	CIViC
AT101	ISOSORBIDE	CHEMBL1200660	TALC
2047	CHEMBL421362	CHEMBL421362	GuideToPharmacologyInteractions
DAP000421	FLUOCINONIDE	CHEMBL1501	TTD
QUININE HYDROCHLORIDE	QUINIDINE HYDROCHLORIDE	CHEMBL2165709	PubChem
MELENGESTROL ACETATE	MELENGESTROL ACETATE	CHEMBL1328968	PubChem
(-)-PENTAZOCINE	REL-PENTAZOCINE	CHEMBL397705	PubChem
CALCIUM FOLINATE	LEUCOVORIN CALCIUM	CHEMBL1201138	PubChem
N-(5-(5-FLUORO-6-METHYLPYRIDIN-2-YL)-4-(QUINOXALIN-6-YL)-1H-IMIDAZOL-2-YL)ACETAMIDE	CHEMBL519939	CHEMBL519939	PubChem
SB-611812	SB611812	CHEMBL1164033	PubChem
PEMIROLAST POTASSIUM	PEMIROLAST POTASSIUM	CHEMBL1201050	PubChem
DCL000615	VEMURAFENIB	CHEMBL1229517	TTD
CHEMBL3545392	MT-3995	CHEMBL3545392	ChemblInteractions
DCL000709			TTD
URB597	CHEMBL184238	CHEMBL184238	PubChem
RH 1	CHEMBL1235676	CHEMBL1235676	PubChem
Iloperidone	ILOPERIDONE	CHEMBL14376	FDA
VUF 5574	CHEMBL70880	CHEMBL70880	PubChem
WX-671			TdgClinicalTrial
1333	CORTICOTROPIN	CHEMBL1201610	GuideToPharmacologyInteractions
2'-DEOXYCYTIDINE-2'-DEOXYADENOSINE-3',5'-MONOPHOSPHATE	CHEMBL1088749	CHEMBL1088749	PubChem
SC-51089	CHEMBL155358	CHEMBL155358	PubChem
5701	PI-103	CHEMBL573339	GuideToPharmacologyInteractions
Olaratumab	OLARATUMAB	CHEMBL1743049	FDA
DAP001135	ANILERIDINE	CHEMBL1201347	TTD
8058	HEXANE	CHEMBL15939	GuideToPharmacologyInteractions
CITALOPRAM	CITALOPRAM	CHEMBL549	TEND
CHEMBL1557	DOPAMINE HYDROCHLORIDE	CHEMBL1557	ChemblInteractions
[LYS8]-VASOPRESSIN	CHEMBL1991816	CHEMBL1991816	PubChem
CHEMBL1200880	DIPHEMANIL METHYLSULFATE	CHEMBL1200880	ChemblInteractions
7036			GuideToPharmacologyInteractions
ENASIDENIB			CIViC
UNII-H44R6RJT3S			PubChem
163	BROLAMFETAMINE	CHEMBL6607	GuideToPharmacologyInteractions
CHEMBL1200641	CISATRACURIUM BESYLATE	CHEMBL1200641	ChemblInteractions
9492			GuideToPharmacologyInteractions
5718	TOZASERTIB	CHEMBL572878	GuideToPharmacologyInteractions
CHEMBL482767	SNS-314	CHEMBL482767	ChemblInteractions
PYRITHIOXIN	PYRITINOL	CHEMBL488093	PubChem
MLN8054	MLN-8054	CHEMBL259084	PubChem
GW841819X	CHEMBL2153434	CHEMBL2153434	PubChem
2397	BUPIVACAINE	CHEMBL1098	GuideToPharmacologyInteractions
ABCIXIMAB	ABCIXIMAB	CHEMBL1201584	TEND
CEFONICID	CEFONICID	CHEMBL1601	PubChem
APRICOXIB	APRICOXIB	CHEMBL1835207	TALC
ALPHA,BETA-MEATP	DIPHOSPHOMETHYLPHOSPHONIC ACID ADENOSYL ESTER	CHEMBL132722	PubChem
DZNeP			CKB
LY-2216684	EDIVOXETINE	CHEMBL2103857	TdgClinicalTrial
1957			GuideToPharmacologyInteractions
DPR000026			TTD
CHEMBL728	PROCHLORPERAZINE	CHEMBL728	ChemblInteractions
DCL000528	FIRATEGRAST	CHEMBL2104967	TTD
7697	AZD0328	CHEMBL2151437	GuideToPharmacologyInteractions
3844	CHEMBL1416728	CHEMBL1416728	GuideToPharmacologyInteractions
CHEMBL1200760	BALSALAZIDE DISODIUM	CHEMBL1200760	ChemblInteractions
AMIDO PHENYL PYRUVIC ACID	CHEMBL1231012	CHEMBL1231012	PubChem
GNF	CHEMBL204785	CHEMBL204785	PubChem
BROMAZEPAM	BROMAZEPAM	CHEMBL277062	TdgClinicalTrial
PKI-590			ClearityFoundationClinicalTrial
ARC1905			TdgClinicalTrial
3'-THYMIDYLIC ACID	CHEMBL408119	CHEMBL408119	PubChem
VEGF-2			TdgClinicalTrial
CHEMBL104815	CHEMBL104815	CHEMBL104815	PubChem
CHEMBL521203	CHEMBL521203	CHEMBL521203	PubChem
2805	MIFEPRISTONE	CHEMBL1276308	GuideToPharmacologyInteractions
TYROSINE HYDROXYLASE INHIBITOR			NCI
8787			GuideToPharmacologyInteractions
DPR000004			TTD
CHEMBL482968	ENMD-2076	CHEMBL482968	ChemblInteractions
LY-339434	CHEMBL301536	CHEMBL301536	PubChem
DISTAMYCIN			NCI
KANAMYCIN SULPHATE	KANAMYCIN SULFATE	CHEMBL1446	PubChem
MB07811	MB07811	CHEMBL457748	TdgClinicalTrial
DCL000589	SB-243213	CHEMBL14460	TTD
DCL000978	FIRATEGRAST	CHEMBL2104967	TTD
6313			GuideToPharmacologyInteractions
DAP000580	PARGYLINE	CHEMBL673	TTD
FEXOFENADINE	FEXOFENADINE	CHEMBL914	TEND
1141080-15-0			PubChem
ANAPROTIN	STANOLONE	CHEMBL27769	PubChem
CANGRELOR	CANGRELOR	CHEMBL334966	TdgClinicalTrial
LGD-2941	LGD-2941	CHEMBL467888	PubChem
GARENOXACIN	GARENOXACIN	CHEMBL215303	PubChem
DCL000138	AFEGOSTAT TARTRATE	CHEMBL2105671	TTD
DAP000220	RIZATRIPTAN	CHEMBL905	TTD
SUNITINIB	SUNITINIB	CHEMBL535	TALC
ZINC1554774			PubChem
CHEMBL118044	CHEMBL118044	CHEMBL118044	PubChem
DCL000132			PubChem
BOSENTAN HYDRATE	BOSENTAN	CHEMBL957	PubChem
AVT-02 UE			TdgClinicalTrial
Pertuzumab	PERTUZUMAB	CHEMBL2007641	FDA
DAP000985			TTD
3251			GuideToPharmacologyInteractions
CHEMBL1531	ETONOGESTREL	CHEMBL1531	ChemblInteractions
DCL000941	QUETIAPINE	CHEMBL716	TTD
CHEMBL3545138	PRT-2607	CHEMBL3545138	ChemblInteractions
INS(3,4,5,6)P4	CHEMBL23050	CHEMBL23050	PubChem
DCL000626	RILOTUMUMAB	CHEMBL1743063	TTD
HYDROCODONE	HYDROCODONE	CHEMBL1457	PubChem
1911	RAMATROBAN	CHEMBL361812	GuideToPharmacologyInteractions
521	DEXMEDETOMIDINE	CHEMBL778	GuideToPharmacologyInteractions
LYSERGAMIDE			PubChem
KT 7515	CEP-1347	CHEMBL290352	PubChem
Temsirolimus	TEMSIROLIMUS	CHEMBL1201182	CKB
CHEMBL515288	CHEMBL515288	CHEMBL515288	PubChem
DAUNORUBICIN CITRATE	DAUNORUBICIN CITRATE	CHEMBL1200475	PubChem
86	HALOPERIDOL	CHEMBL54	GuideToPharmacologyInteractions
DAP000869			TTD
LIGNAN			NCI
554	NADOLOL	CHEMBL649	GuideToPharmacologyInteractions
CHEMBL3545379	MLN-1117	CHEMBL3545379	ChemblInteractions
EVEX			PubChem
DPR000043	FANANSERIN	CHEMBL83894	TTD
DAP001105	FLUDROCORTISONE	CHEMBL1201388	TTD
LOMUSTINE	LOMUSTINE	CHEMBL514	NCI
Thioguanine	THIOGUANINE	CHEMBL727	CGI
SCYLLATOXIN			PubChem
CHEMBL3545216	FX-005	CHEMBL3545216	ChemblInteractions
117467-28-4			PubChem
MEBENDAZOLE	MEBENDAZOLE	CHEMBL685	PubChem
CHEMBL112896	CHEMBL112896	CHEMBL112896	PubChem
DAP000864	AMITRIPTYLINE	CHEMBL629	TTD
5-HYDROXYMETHYLENE-6-HYDROFOLIC ACID			PubChem
7032	CHEMBL2325441	CHEMBL2325441	GuideToPharmacologyInteractions
DCL000442			TTD
2597			GuideToPharmacologyInteractions
DB07428			PubChem
DESLANOSIDE	DESLANOSIDE	CHEMBL1614	PubChem
PRAVASTATIN	PRAVASTATIN	CHEMBL1144	TdgClinicalTrial
CALCIUM GLUCONATE	CALCIUM GLUCONATE	CHEMBL2106119	NCI
6294	BENZYL BROMIDE	CHEMBL1085946	GuideToPharmacologyInteractions
CHEMBL2364652	VANTICTUMAB	CHEMBL2364652	ChemblInteractions
ALPHA-MANAC	N-ACETYLMANNOSAMINE	CHEMBL1231391	PubChem
DAP000994	MITOMYCIN	CHEMBL105	TTD
Vistusertib	BENZONATATE	CHEMBL1374379	CKB
DB03749	CHEMBL360563	CHEMBL360563	PubChem
VELIFLAPON	VELIFLAPON	CHEMBL88712	PubChem
CNTO 148	GOLIMUMAB	CHEMBL1201833	TdgClinicalTrial
NADA	ARACHIDONOYL DOPAMINE	CHEMBL138921	PubChem
373	CHEMBL410873	CHEMBL410873	GuideToPharmacologyInteractions
LOSMAPIMOD	LOSMAPIMOD	CHEMBL1088752	PubChem
CINITAPRIDE	CINITAPRIDE	CHEMBL2104523	PubChem
DIELDRIN	ENDRIN	CHEMBL44072	PubChem
4701	CHEMBL1161013	CHEMBL1161013	GuideToPharmacologyInteractions
